drawdate,sales,n1,n2,n3,n4,n5,winners_5,winners_4,winners_3,winners_2,prize_5,prize_4,prize_3,prize_2
2012-04-05,225767,5,9,22,28,29,0,90,2749,27040,0,381,9,2
2012-04-06,232612,11,12,13,16,29,0,100,2727,26534,0,368,9,2
2012-04-07,229769,10,24,25,28,36,0,56,2294,24924,0,676,12,2
2012-04-09,226630,2,6,9,13,25,0,99,2898,26736,0,352,9,2
2012-04-10,211310,6,8,23,27,29,0,84,2415,24902,0,387,10,2
2012-04-11,211958,1,8,16,29,32,1,64,2293,23057,24035,170,11,2
2012-04-12,217487,1,8,13,31,32,0,69,2264,23539,0,520,11,2
2012-04-13,236343,5,14,21,27,36,0,81,2388,25454,0,483,12,2
2012-04-14,228800,5,24,25,26,30,0,79,2458,24998,0,475,11,2
2012-04-16,229791,1,27,28,29,37,2,85,2686,26171,12557,133,9,2
2012-04-17,210260,13,25,31,36,37,1,63,2275,22415,24211,174,12,2
2012-04-18,210874,13,14,28,33,37,1,58,2300,23438,23512,182,10,2
2012-04-19,216004,21,26,29,32,37,1,92,2388,24071,24034,117,11,2
2012-04-20,225785,3,6,7,16,18,1,90,2820,27642,23130,116,8,2
2012-04-21,220489,6,10,13,17,28,0,90,2675,25850,0,379,9,2
2012-04-23,223180,5,10,18,34,36,1,71,2288,24663,24998,159,12,2
2012-04-24,203046,5,10,20,28,30,0,112,2611,22893,0,289,9,2
2012-04-25,204449,11,14,15,25,36,0,61,1981,22141,0,554,12,2
2012-04-26,210981,19,24,32,33,36,0,72,2130,22000,0,498,12,2
2012-04-27,222514,2,4,7,13,36,0,79,2618,26471,0,429,9,2
2012-04-28,220247,4,15,24,35,37,1,72,2274,24516,24528,154,12,2
2012-04-30,223138,4,7,35,36,37,1,110,3057,25911,23988,98,8,2
2012-05-01,213719,12,28,33,34,36,0,69,2313,22823,0,517,11,2
2012-05-02,213153,1,21,22,25,34,1,63,2087,22900,24401,174,12,2
2012-05-03,219280,5,13,27,31,37,1,76,2562,25327,23683,140,10,2
2012-05-04,228376,3,13,26,29,34,0,76,2520,25731,0,481,10,2
2012-05-05,222700,6,8,20,24,35,0,71,2297,24826,0,506,11,2
2012-05-07,224010,20,24,27,30,33,3,68,2296,23942,8581,171,12,2
2012-05-08,204870,3,4,10,15,25,0,77,2626,24395,0,405,8,2
2012-05-09,207068,3,9,12,25,27,0,98,2758,25196,0,316,8,2
2012-05-10,213490,6,10,11,32,33,2,65,2136,24270,11684,162,12,2
2012-05-11,222429,1,14,25,29,30,1,65,2148,23546,25746,178,12,2
2012-05-12,217815,1,14,15,29,36,0,67,2154,22774,0,551,13,2
2012-05-14,216409,1,3,4,15,24,1,89,2796,25107,23283,118,8,2
2012-05-15,204110,6,9,10,15,32,0,67,2351,23805,0,473,10,2
2012-05-16,204427,4,6,17,20,26,0,87,2209,22674,0,380,11,2
2012-05-17,209185,11,16,30,32,35,0,39,1941,21924,0,908,13,2
2012-05-18,221517,4,6,10,14,30,1,100,2759,25547,23955,108,9,2
2012-05-19,216032,5,6,7,19,22,1,93,2816,26548,22050,107,8,2
2012-05-21,216349,3,6,29,32,36,0,55,2283,23718,0,643,11,2
2012-05-22,198918,4,8,15,25,26,1,88,2328,23123,21365,109,10,2
2012-05-23,199548,7,10,26,32,33,1,56,2017,22205,22228,179,11,2
2012-05-24,203584,3,9,11,22,33,1,109,2619,24071,21541,89,9,2
2012-05-25,216513,1,12,20,32,37,0,75,2185,23657,0,473,11,2
2012-05-26,209523,3,6,15,20,23,1,84,2450,24701,22226,119,10,2
2012-05-28,186212,5,20,22,29,34,0,68,1866,20866,0,440,11,2
2012-05-29,190324,2,5,8,17,22,1,91,2432,23391,19424,96,8,2
2012-05-30,190999,4,7,15,31,36,1,59,2044,21682,20932,160,11,2
2012-05-31,202186,14,16,26,27,29,0,68,2186,22321,0,483,11,2
2012-06-01,225657,8,10,23,26,33,0,79,2445,25754,0,452,10,2
2012-06-02,222422,2,10,13,22,29,1,99,2541,26590,23299,106,10,2
2012-06-04,218422,8,13,21,24,32,1,89,2479,24600,24094,122,10,2
2012-06-05,198988,2,19,25,31,37,0,48,2119,22316,0,666,11,2
2012-06-06,195940,18,19,29,34,35,0,80,2023,21653,0,398,11,2
